584.90356 243.66539 223.21498
584.9078 241.63956 224.51218
584.91204 230.94164 225.81619
584.91628 226.05962 227.12702
584.92051 242.22661 228.44466
584.92475 252.24983 229.76911
584.92899 241.09773 231.10039
584.93323 237.24303 232.43848
584.93747 240.14459 233.78338
584.9417 273.69257 235.13511
584.94594 266.29074 236.49365
584.95018 257.75504 237.85901
584.95442 259.22153 239.23119
584.95865 241.9346 240.61019
584.96289 233.96574 241.99602
584.96713 245.43906 243.38866
584.97137 255.00449 244.78812
584.9756 267.34305 246.19441
584.97984 256.00784 247.60752
584.98408 241.25026 249.02746
584.98831 246.83723 250.45421
584.99255 262.06354 251.8878
584.99679 281.70349 253.32821
585.00102 287.24954 254.77544
585.00526 276.6702 256.2295
585.0095 286.93326 257.69039
585.01373 292.96442 259.15811
585.01797 284.49081 260.63265
585.0222 281.89532 262.11403
585.02644 276.18872 263.60223
585.03068 268.10004 265.09727
585.03491 289.50275 266.59913
585.03915 302.73132 268.10783
585.04338 299.69031 269.62336
585.04762 298.44916 271.14572
585.05186 303.59799 272.67491
585.05609 300.68304 274.21094
585.06033 287.57199 275.75381
585.06456 292.28967 277.30351
585.0688 291.10287 278.86004
585.07303 285.54837 280.42341
585.07727 291.59085 281.99362
585.0815 309.72479 283.57067
585.08574 312.91571 285.15456
585.08997 297.19614 286.74528
585.09421 306.91736 288.34284
585.09844 305.49707 289.94725
585.10268 310.59238 291.55849
585.10691 298.83029 293.17658
585.11115 304.02652 294.80151
585.11538 325.62875 296.43328
585.11962 313.12051 298.0719
585.12385 306.2251 299.71736
585.12809 326.96417 301.36966
585.13232 328.401 303.02881
585.13655 316.08438 304.69481
585.14079 327.42401 306.36765
585.14502 323.6604 308.04734
585.14926 304.85849 309.73388
585.15349 324.55884 311.42727
585.15772 320.60443 313.12751
585.16196 327.31674 314.83459
585.16619 309.05594 316.54853
585.17042 319.63553 318.26932
585.17466 347.32367 319.99696
585.17889 343.48297 321.73145
585.18312 339.02786 323.47279
585.18736 353.63611 325.22099
585.19159 331.10757 326.97604
585.19582 335.26852 328.73795
585.20006 334.63672 330.50671
585.20429 311.97906 332.28233
585.20852 312.84247 334.06481
585.21276 330.93716 335.85414
585.21699 315.5466 337.65033
585.22122 306.93201 339.45339
585.22545 343.43774 341.26329
585.22969 351.10739 343.08006
585.23392 360.76855 344.90369
585.23815 360.46191 346.73418
585.24238 354.57709 348.57154
585.24662 378.06696 350.41575
585.25085 386.26343 352.26683
585.25508 356.63974 354.12477
585.25931 373.01831 355.98958
585.26354 366.70981 357.86125
